name,motorway,where,postcode,type,operator,p_charges,has_charge,is_single,is_twin,has_walk,pair_name,is_pair
Abington Services M74,M74,at J13,ML12 6RG,"Single site, used by traffic in both directions",Welcome Break,"Cars free for the first 2 hours then £5 for up to 6 hours on site then £12 for up to 24Hr periods. 
HGVs £24 with a £9 meal voucher and £20 without a meal voucher",NA,TRUE,FALSE,NA,NA,FALSE
Annandale Water Services A74(M),A74(M),at J16,DG11 1HD,"Single site, used by traffic in both directions",RoadChef,"Parking Free for up to 2 hours after which time the following charges apply for up to 24 hours
Cars £10
HGV £18
HGV with £10 food voucher £20
Caravans/Medium Goods Vehicles/Large Motor Homes £18",Yes (More details at PiV Charge UK),TRUE,FALSE,NA,NA,FALSE
Baldock Services A1(M),A1(M),at J10 and from A507,SG7 5TR,"Single site, used by traffic in both directions",Extra MSA,First two hours free for all vehicles,NA,TRUE,FALSE,NA,NA,FALSE
Beaconsfield Services M40,M40,at J2 and from A355,HP9 2SE,"Single site, used by traffic in both directions",Extra MSA,NA,NA,TRUE,FALSE,NA,NA,FALSE
Birch Services M62,M62,between junctions J18-19,OL10 2HQ,"Separate facilities for each carriageway, but linked by a pedestrian footbridge",Moto,"Car - £12.50, HGV with a food voucher - £21.50, without a voucher - £20.00 after two hours",NA,FALSE,TRUE,TRUE,NA,FALSE
Birchanger Green Services M11,M11,at J8 and from A120,CM23 5QZ,"Single site, used by traffic in both directions",Welcome Break,"Parking is free of charge to all customers for the first 2 hours, thereafter charges apply:. Cars: £10.00. Caravans, Coaches and HGVs: £23.50�including £8.00 meal voucher or £21.00 without voucher.",NA,TRUE,FALSE,NA,NA,FALSE
Blackburn with Darwen Services M65,M65,at J4 and from A666,BB3 0AT,"Single site, used by traffic in both directions",Extra MSA,"Parking is free to all customers for the first 2 hours, thereafter charges apply to all vehicles of £",NA,TRUE,FALSE,NA,NA,FALSE
Blyth Services A1(M),A1(M),at J34,S81 8HG,"Single site, used by traffic in both directions",Moto,"Free for 2 hours, charges apply for longer stays. HGV with food voucher: £15 (without voucher: £13) - Car: £8",Yes (More details at PiV Charge UK),TRUE,FALSE,NA,NA,FALSE
Bothwell Services M74,M74,between junctions J4-5,G71 8BG,Facilities accessible from one direction only,RoadChef,"Parking free for up to 2 hours, after which time the following charges apply
Cars £12
HGV £19
(HGV with £10 food voucher £21)
Caravans/Medium Goods Vehicles/Large Motor Homes £19",Yes (More details at PiV Charge UK),FALSE,FALSE,NA,NA,FALSE
Bridgwater Services M5,M5,at J24 and from A38,TA6 6TS,"Single site, used by traffic in both directions",Moto,"Cars - £12 for 24hrs, HGV - £17, HGV with a £9 food voucher £18.50",NA,TRUE,FALSE,NA,NA,FALSE
Burton-in-Kendal Services M6,M6,between junctions J35-36,LA6 1JF,Facilities accessible from one direction only,Moto,"Free for 2 hours, charges apply for longer stays. HGV with food voucher: £15 (without voucher: £13), Car: £8",NA,FALSE,FALSE,NA,NA,FALSE
Burtonwood Services M62,M62,between junctions J8-9,WA5 3AX,"Single site, used by traffic in both directions",Welcome Break,"Free for two hours, charges apply for longer stays. Cars: £10.00, including a £2.00 meal voucher. Caravans, Coaches and HGVs: £18.50 including a £7.00 meal voucher or £16.00 with no voucher",NA,TRUE,FALSE,NA,NA,FALSE
Cambridge Services A14,A14,14 miles north of Cambridge,CB23 4WU,"Single site, used by traffic in both directions",Extra MSA,Three hours free parking for all vehicles. £28 per 24hrs after that.,NA,TRUE,FALSE,NA,NA,FALSE
Cardiff Gate Services M4,M4,at J30 and from A4232 Pentwyn Link Road,CF23 8RA,"Single site, used by traffic in both directions",Welcome Break,"Car - 24 Hours - £10
HGV - 24 Hours - £16 with Food
HGC - 24 Hours - £14 without Food",Yes (More details at PiV Charge UK),TRUE,FALSE,NA,NA,FALSE
Cardiff West Services M4,M4,at J33 and from A4232,CF72 8SA,"Single site, used by traffic in both directions",Moto,"£12.50 car,
£17.50 HGV,
£19.00 HGV with food voucher",NA,TRUE,FALSE,NA,NA,FALSE
Charnock Richard Services M6,M6,between junctions J27-28,PR7 5LR,Shared main facilities building but separate car parks and access for each carriageway,Welcome Break,"Free for two hours, charges apply for longer stays. Cars: £8.00, including a £2.00 meal voucher. Caravans, Coaches and HGVs: £17.50, including a £7.00 meal voucher.",NA,FALSE,FALSE,NA,NA,FALSE
Cherwell Valley Services M40,M40,at J10 and from A43,OX27 7RD,"Single site, used by traffic in both directions",Moto,"Cars £12 for 24hrs, HGV £22 parking only & £23.50 with £9 meal voucher",Yes (More details at PiV Charge UK),TRUE,FALSE,NA,NA,FALSE
Chester Services M56,M56,at J14 and from A5117,CH2 4QZ,"Single site, used by traffic in both directions",RoadChef,"First two hours free for all vehicles, after which cars must pay £ and HGVs, caravans and coaches £, or £ to include a £ food voucher.

Prices are paid using PayByPhone - more details or in the shop or restaurant. The location code is 5267.

The fees are strictly enforced by CP Plus.",NA,TRUE,FALSE,NA,NA,FALSE
Chieveley Services M4,M4,at J13,RG189XX,"Single site, used by traffic in both directions",Moto,"£16 for 24 hours long stay behind Travelodge, pay using PayByPhone system and credit/debit card
£15 for 24 hours short stay in main car park to the right pay in WHS or EDC",NA,TRUE,FALSE,NA,NA,FALSE
Clacket Lane Services M25,M25,between junctions J5-6 and from Clacket Lane,TN16 2ER,"Separate facilities for each carriageway, with no link between them",RoadChef,"Free for 2 hours after which time the following charges apply for up to 24 hours 
Cars £12
HGV £26
HGV with £10 food voucher £30
Caravans/Medium Goods Vehicles/large Motor Homes £26",Yes (More details at PiV Charge UK),FALSE,TRUE,FALSE,NA,FALSE
Cobham Services M25,M25,between junctions J9 - 10,KT11 3DB,"Separate facilities for each carriageway, with no link between them",Extra MSA,NA,NA,FALSE,TRUE,FALSE,NA,FALSE
Corley Services M6,M6,between junctions J3-4,CV7 8NR,"Separate facilities for each carriageway, but linked by a pedestrian footbridge",Welcome Break,"Free for two hours, charges apply for longer stays. Cars: £10.00. Caravans, Coaches and HGVs: £28, including a £10.00 meal voucher.",NA,FALSE,TRUE,TRUE,NA,FALSE
Cullompton Services M5,M5,"at J28 and from A373, B3181",EX15,"Single site, used by traffic in both directions",Extra MSA,NA,NA,TRUE,FALSE,NA,NA,FALSE
Derby South Services Eastbound A50,A50,2 miles east of junction with M1,DE72 2WA,Facilities accessible from one direction only,Welcome Break,"Parking is free to all customers for the first 2 hours, thereafter charges apply:. Cars £6.00, including a £2 meal voucher. HGV, Caravans & Coaches £14.00, including a £6 meal voucher.",Yes (More details at PiV Charge UK),FALSE,FALSE,NA,Derby South Services Eastbound A50 A50,TRUE
Derby South Services Westbound A50,A50,2 miles east of junction with M1,,Facilities accessible from one direction only,Welcome Break,"Parking is free to all customers for the first 2 hours, thereafter charges apply:. Cars £6.00, including a £2 meal voucher. HGV, Caravans & Coaches £14.00, including a £6 meal voucher.",Yes (More details at PiV Charge UK),FALSE,FALSE,NA,Derby South Services Westbound A50 A50,TRUE
Doncaster North Services M18,M18,at J5 and from M180,DN8 5GS,"Single site, used by traffic in both directions",Moto,"Free for 2 hours, charges apply for longer stays. HGV with food voucher: £16 (without voucher: £14) - Car: £8",Yes (More details at PiV Charge UK),TRUE,FALSE,NA,NA,FALSE
Donington Park Services M1,M1,"23A and from A42, M42 and A50",DE74 2TN,"Single site, used by traffic in both directions",Moto,"Free for 2 hours, charges apply for longer stays. HGV with food voucher: £16 (without voucher: £14) - Car: £10",Yes (More details at PiV Charge UK),TRUE,FALSE,NA,NA,FALSE
Durham Services A1(M),A1(M),"at J61 and from A688, A177",DH6 5NP,"Single site, used by traffic in both directions",RoadChef,"Free for up to 2 hours, then the following charges apply for up to 24 hours
Cars £
HGV £
HGV with £ food voucher £
Caravans/Medium Goods Vehicles/Large Motor Homes £",NA,TRUE,FALSE,NA,NA,FALSE
Exeter Services M5,M5,at J30,EX2 7HF,"Single site, used by traffic in both directions",Moto,"Free for 2 Hours
Car Park: £12.50 (2-24hrs)
HGV with food voucher: £23.50
(food voucher value: £9.00)
HGV without food voucher: £22.00
Caravans / Motorhomes: £22.00",NA,TRUE,FALSE,NA,NA,FALSE
Ferrybridge Services M62,M62,at J33,WF11 OAF,"Single site, used by traffic in both directions",Moto,"Free for 2 hours, charges apply for longer stays. HGV with food voucher: £21.00 (without voucher: £19.50) - Car: £12",NA,TRUE,FALSE,NA,NA,FALSE
Fleet Services M3,M3,between junctions J4A-5,GU51 1AA,"Separate facilities for each carriageway, but linked by a pedestrian footbridge",Welcome Break,"Free for two hours, charges apply for longer stays. Cars: £11.00. Caravans, Coaches and HGVs: £23.50, including a £8.00 meal voucher.",NA,FALSE,TRUE,TRUE,NA,FALSE
Frankley Services M5,M5,between junctions J3-4,B32 4AR,"Separate facilities for each carriageway, with no link between them",Moto,"Car £12.50
HGV with meal vouchers £22.50
HGV withoug meal vouchers £21.00",NA,FALSE,TRUE,FALSE,NA,FALSE
Gloucester Services Northbound M5,M5,between junctions J12-11a,GL4 0DN,Facilities accessible from one direction only,Westmorland,NA,NA,FALSE,FALSE,NA,Gloucester Services Northbound M5 M5,TRUE
Gloucester Services Southbound M5,M5,between junctions J11a-12,GL4 0DN,Facilities accessible from one direction only,Westmorland,NA,NA,FALSE,FALSE,NA,Gloucester Services Southbound M5 M5,TRUE
Gordano Services M5,M5,at J19 and from A361,BS20 7XG,"Single site, used by traffic in both directions",Welcome Break,"Free for two hours, charges apply for longer stays. Cars: £10.00. Caravans, Coaches and HGVs: £16.00.",NA,TRUE,FALSE,NA,NA,FALSE
Grantham North Services A1,A1,Gonerby Moor and from B1174 Great North Road,NG32 2AB,"Single site, used by traffic in both directions",Moto,"Free for 2 hours, charges apply for longer stays. HGV with food voucher: £18 (without voucher: £16), Car: £8",Yes (More details at PiV Charge UK),TRUE,FALSE,NA,NA,FALSE
Gretna Green Services M74,M74,between junctions J21-22,DG16 5HQ,"Single site, used by traffic in both directions",Welcome Break,"Parking is free to all customers for the first 2 hours, thereafter charges apply:. Cars £8.00, including a £2 meal voucher. HGV, Caravans & Coaches £18.50, including a £7 meal voucher.",NA,TRUE,FALSE,NA,NA,FALSE
Hamilton Services M74,M74,between junctions J5-6,ML3 6JW,Facilities accessible from one direction only,RoadChef,"Free for up to 2 hours, then the following charges apply for up to 24 hours
Cars £10
HGV £20
HGV with £10 food voucher £22
Caravans/Medium Goods Vehicles/Large Motor Homes £20",Yes (More details at PiV Charge UK),FALSE,FALSE,NA,NA,FALSE
Happendon Services M74,M74,between junctions J11-12,ML11 0RJ,"Single site, used by traffic in both directions",Westmorland,"HGV £9, Cars £3, Caravans £4",NA,TRUE,FALSE,NA,NA,FALSE
Hartshead Moor Services M62,M62,between junctions J25-26,HD6 4JX,"Separate facilities for each carriageway, but linked by a pedestrian footbridge",Welcome Break,"Parking is free to all customers for the first 2 hours, thereafter charges apply. Cars £8.00, including a £2 meal voucher. HGV, Caravans & Coaches £21.00, including a £7 meal voucher..",NA,FALSE,TRUE,TRUE,NA,FALSE
Heart of Scotland M8,M8,between junctions J4-5,ML7 5TT,Facilities accessible from one direction only,BP Connect,NA,NA,FALSE,FALSE,NA,NA,FALSE
Heston Services M4,M4,between junctions J2-3,TW5 9NB,"Separate facilities for each carriageway, with no link between them",Moto,"Free for 2 hours, charges apply for longer stays. HGV with food voucher: £20 (without voucher: £18.50), Car: £8",Yes (More details at PiV Charge UK),FALSE,TRUE,FALSE,NA,FALSE
Hilton Park Services M6,M6,between junctions J10A-11,WV11 2AT,"Separate facilities for each carriageway, but linked by a pedestrian footbridge",Moto,"The first 2 hours free. Site is now managed by CP-Plus. This is a camera operating system which takes a photo of your vehicle on the way in to the services and then again on the way out. if you haven't paid for parking and have stayed for longer than 2 hours, you will be sent a fine through the post. HGV fine = £250
          Car fine - £80

HGV: Parking with Food £20
     Parking Without Food £18",NA,FALSE,TRUE,TRUE,NA,FALSE
