retailer,service_station,direction,is_food_retailer,is_restaurant,is_takeaway,is_prepared_food_only,is_coffee_shop
Starbucks,Abington Services M74,Directionless,TRUE,NA,TRUE,NA,TRUE
Papa John's,Abington Services M74,Directionless,TRUE,TRUE,TRUE,NA,NA
Burger King,Abington Services M74,Directionless,TRUE,TRUE,TRUE,NA,NA
Dunkin' Donuts,Abington Services M74,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Harry Ramsden's,Abington Services M74,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Annandale Water Services A74(M),Directionless,TRUE,FALSE,TRUE,NA,TRUE
Restbite,Annandale Water Services A74(M),Directionless,TRUE,NA,NA,NA,TRUE
The Burger Company,Annandale Water Services A74(M),Directionless,TRUE,TRUE,TRUE,NA,NA
KFC,Baldock Services A1(M),Directionless,TRUE,TRUE,TRUE,NA,NA
Le Petit Four,Baldock Services A1(M),Directionless,TRUE,FALSE,TRUE,NA,TRUE
McDonald's,Baldock Services A1(M),Directionless,TRUE,TRUE,TRUE,NA,NA
Starbucks,Baldock Services A1(M),Directionless,TRUE,NA,TRUE,NA,TRUE
McDonald's,Beaconsfield Services M40,Directionless,TRUE,TRUE,TRUE,NA,NA
Starbucks,Beaconsfield Services M40,Directionless,TRUE,NA,TRUE,NA,TRUE
Carvery Express,Beaconsfield Services M40,Directionless,TRUE,TRUE,NA,NA,NA
Wetherspoon's,Beaconsfield Services M40,Directionless,TRUE,TRUE,FALSE,NA,NA
KFC,Beaconsfield Services M40,Directionless,TRUE,TRUE,TRUE,NA,NA
Domino's Pizza,Beaconsfield Services M40,Directionless,TRUE,TRUE,TRUE,NA,NA
Greggs,Beaconsfield Services M40,Directionless,TRUE,TRUE,TRUE,NA,TRUE
El Mexicana,Beaconsfield Services M40,Directionless,TRUE,TRUE,TRUE,NA,NA
Chozen Noodles,Beaconsfield Services M40,Directionless,TRUE,TRUE,TRUE,NA,NA
LP4,Beaconsfield Services M40,Directionless,FALSE,NA,NA,NA,NA
Burger King,Birch Services M62,Directionless,TRUE,TRUE,TRUE,NA,NA
Greggs,Birch Services M62,Directionless,TRUE,TRUE,TRUE,NA,TRUE
Costa,Birch Services M62,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Eat & Drink Co,Birch Services M62,Directionless,TRUE,TRUE,TRUE,NA,NA
Burger King,Birchanger Green Services M11,Directionless,TRUE,TRUE,TRUE,NA,NA
KFC,Birchanger Green Services M11,Directionless,TRUE,TRUE,TRUE,NA,NA
Eat In,Birchanger Green Services M11,Directionless,TRUE,TRUE,TRUE,NA,NA
McDonald's,Blackburn with Darwen Services M65,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Blackburn with Darwen Services M65,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Greggs,Blackburn with Darwen Services M65,Directionless,TRUE,TRUE,TRUE,NA,TRUE
Cafe Ritazza,Blyth Services A1(M),Directionless,TRUE,FALSE,TRUE,NA,TRUE
Burger King,Blyth Services A1(M),Directionless,TRUE,TRUE,TRUE,NA,NA
Fresh Express,Blyth Services A1(M),Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Bothwell Services M74,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Restbite,Bothwell Services M74,Directionless,TRUE,NA,NA,NA,TRUE
Burger King,Bridgwater Services M5,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Bridgwater Services M5,Directionless,TRUE,FALSE,TRUE,NA,TRUE
West Cornwall Pasty Company,Bridgwater Services M5,Directionless,TRUE,NA,NA,NA,TRUE
Krispy Kreme,Bridgwater Services M5,Directionless,TRUE,TRUE,TRUE,NA,TRUE
Ginsters Sandwiches,Bridgwater Services M5,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Burger King,Burton-in-Kendal Services M6,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Burton-in-Kendal Services M6,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Eat & Drink Co,Burton-in-Kendal Services M6,Directionless,TRUE,TRUE,TRUE,NA,NA
Starbucks,Burtonwood Services M62,Directionless,TRUE,NA,TRUE,NA,TRUE
KFC,Burtonwood Services M62,Directionless,TRUE,TRUE,TRUE,NA,NA
Eat In,Burtonwood Services M62,Directionless,TRUE,TRUE,TRUE,NA,NA
McDonald's,Cambridge Services A14,Directionless,TRUE,TRUE,TRUE,NA,NA
El Mexicana,Cambridge Services A14,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Cambridge Services A14,Directionless,TRUE,FALSE,TRUE,NA,TRUE
BakeHouse,Cambridge Services A14,Directionless,TRUE,FALSE,TRUE,NA,NA
Patiserie Valerie,Cambridge Services A14,Directionless,TRUE,NA,TRUE,NA,TRUE
M&S,Cambridge Services A14,Directionless,TRUE,NA,NA,TRUE,NA
KFC,Cambridge Services A14,Directionless,TRUE,TRUE,TRUE,NA,NA
Starbucks,Cardiff Gate Services M4,Directionless,TRUE,NA,TRUE,NA,TRUE
Burger King,Cardiff Gate Services M4,Directionless,TRUE,TRUE,TRUE,NA,NA
Burger King,Cardiff West Services M4,Directionless,TRUE,TRUE,TRUE,NA,NA
Greggs,Cardiff West Services M4,Directionless,TRUE,TRUE,TRUE,NA,TRUE
Costa,Cardiff West Services M4,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Krispy Kreme,Cardiff West Services M4,Directionless,TRUE,TRUE,TRUE,NA,TRUE
Subway,Cardiff West Services M4,Directionless,TRUE,TRUE,TRUE,NA,NA
Restaurant,Castlebellingham Services M1 Ireland,Directionless,TRUE,TRUE,NA,NA,NA
Burger King,Castlebellingham Services M1 Ireland,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Castlebellingham Services M1 Ireland,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Burger King,Charnock Richard Services M6,Directionless,TRUE,TRUE,TRUE,NA,NA
KFC,Charnock Richard Services M6,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Cherwell Valley Services M40,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Eat & Drink Co,Cherwell Valley Services M40,Directionless,TRUE,TRUE,TRUE,NA,NA
Burger King,Cherwell Valley Services M40,Directionless,TRUE,TRUE,TRUE,NA,NA
Upper Crust,Cherwell Valley Services M40,Directionless,TRUE,NA,TRUE,NA,TRUE
McDonald's,Chester Services M56,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Chester Services M56,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Chozen Noodles,Chester Services M56,Directionless,TRUE,TRUE,TRUE,NA,NA
Fresh Food Cafe,Chester Services M56,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Krispy Kreme,Chester Services M56,Directionless,TRUE,TRUE,TRUE,NA,TRUE
Arlo's,Chieveley Services M4,Directionless,TRUE,TRUE,TRUE,NA,NA
Burger King,Chieveley Services M4,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Chieveley Services M4,Directionless,TRUE,FALSE,TRUE,NA,TRUE
West Cornwall Pasty Company,Chieveley Services M4,Directionless,TRUE,NA,NA,NA,TRUE
Greggs,Chieveley Services M4,Directionless,TRUE,TRUE,TRUE,NA,TRUE
McDonald's,Clacket Lane Services M25,Directionless,TRUE,TRUE,TRUE,NA,NA
Hot Food Co,Clacket Lane Services M25,Directionless,TRUE,TRUE,NA,NA,NA
Costa,Clacket Lane Services M25,Directionless,TRUE,FALSE,TRUE,NA,TRUE
Wild Bean Cafe,Clacket Lane Services M25,Directionless,TRUE,NA,NA,NA,TRUE
KFC,Cobham Services M25,Directionless,TRUE,TRUE,TRUE,NA,NA
McDonald's,Cobham Services M25,Directionless,TRUE,TRUE,TRUE,NA,NA
Starbucks,Cobham Services M25,Directionless,TRUE,NA,TRUE,NA,TRUE
Eat In,Cobham Services M25,Directionless,TRUE,TRUE,TRUE,NA,NA
Greggs,Cobham Services M25,Directionless,TRUE,TRUE,TRUE,NA,TRUE
Papa John's,Cobham Services M25,Directionless,TRUE,TRUE,TRUE,NA,NA
El Mexicana,Cobham Services M25,Directionless,TRUE,TRUE,TRUE,NA,NA
Moodog,Cobham Services M25,Directionless,TRUE,NA,TRUE,NA,TRUE
Chozen Noodles,Cobham Services M25,Directionless,TRUE,TRUE,TRUE,NA,NA
Dessert Station,Cobham Services M25,Directionless,TRUE,TRUE,TRUE,NA,NA
Costa,Cobham Services M25,Directionless,TRUE,FALSE,TRUE,NA,TRUE
M&S,Cobham Services M25,Directionless,TRUE,NA,NA,TRUE,NA
